日付,時間 ,約定値,出来高
2025/12/05,15:30:00,258,"230,400"
2025/12/05,15:24:59,255,"1,000"
2025/12/05,15:24:55,254,800
2025/12/05,15:24:55,254,"1,200"
2025/12/05,15:24:53,255,600
2025/12/05,15:24:49,255,100
2025/12/05,15:24:44,255,"1,100"
2025/12/05,15:24:44,255,"3,000"
2025/12/05,15:24:42,254,200
2025/12/05,15:24:41,254,900
2025/12/05,15:24:41,254,"3,200"
2025/12/05,15:24:40,254,"1,300"
2025/12/05,15:24:36,253,800
2025/12/05,15:24:31,253,400
2025/12/05,15:24:27,253,200
2025/12/05,15:24:19,254,800
2025/12/05,15:24:16,254,100
2025/12/05,15:24:15,254,100
2025/12/05,15:24:09,253,200
2025/12/05,15:24:06,255,100
2025/12/05,15:24:06,254,100
2025/12/05,15:24:06,254,"2,100"
2025/12/05,15:24:06,254,100
2025/12/05,15:23:59,254,100
2025/12/05,15:23:59,254,300
2025/12/05,15:23:57,254,800
2025/12/05,15:23:57,254,200
2025/12/05,15:23:57,254,100
2025/12/05,15:23:54,252,400
2025/12/05,15:23:54,253,"1,600"
2025/12/05,15:23:53,254,400
2025/12/05,15:23:38,255,600
2025/12/05,15:23:38,254,"1,200"
2025/12/05,15:23:38,253,300
2025/12/05,15:23:38,254,"1,800"
2025/12/05,15:23:29,254,"1,000"
2025/12/05,15:23:11,254,100
2025/12/05,15:23:01,254,300
2025/12/05,15:23:01,254,200
2025/12/05,15:22:59,254,"1,600"
2025/12/05,15:22:43,254,"1,500"
2025/12/05,15:22:37,253,400
2025/12/05,15:22:37,253,"1,800"
2025/12/05,15:22:35,253,"1,200"
2025/12/05,15:22:35,253,300
2025/12/05,15:22:32,253,300
2025/12/05,15:22:30,253,100
2025/12/05,15:22:22,253,200
2025/12/05,15:22:22,253,"1,800"
2025/12/05,15:22:21,253,400
2025/12/05,15:22:16,254,"2,900"
2025/12/05,15:22:16,253,"1,200"
2025/12/05,15:22:16,252,100
2025/12/05,15:22:15,252,"1,100"
2025/12/05,15:22:15,251,"9,100"
2025/12/05,15:22:15,252,"1,100"
2025/12/05,15:22:04,253,"1,900"
2025/12/05,15:22:00,252,800
2025/12/05,15:21:53,252,300
2025/12/05,15:21:53,252,300
2025/12/05,15:21:52,252,"2,000"
2025/12/05,15:21:52,252,100
2025/12/05,15:21:48,252,200
2025/12/05,15:21:36,252,100
2025/12/05,15:21:31,252,100
2025/12/05,15:21:31,252,100
2025/12/05,15:21:23,252,800
2025/12/05,15:21:23,253,600
2025/12/05,15:21:07,254,700
2025/12/05,15:20:55,256,100
2025/12/05,15:20:49,254,400
2025/12/05,15:20:49,257,400
2025/12/05,15:20:49,255,"3,100"
2025/12/05,15:20:49,256,"1,000"
2025/12/05,15:20:46,256,300
2025/12/05,15:20:34,258,300
2025/12/05,15:20:34,257,"1,000"
2025/12/05,15:20:34,256,"1,300"
2025/12/05,15:20:34,255,"2,100"
2025/12/05,15:20:28,255,100
2025/12/05,15:20:27,255,100
2025/12/05,15:20:26,255,100
2025/12/05,15:20:25,255,100
2025/12/05,15:20:23,254,100
2025/12/05,15:20:22,254,100
2025/12/05,15:20:21,254,100
2025/12/05,15:20:10,253,100
2025/12/05,15:20:06,254,100
2025/12/05,15:20:02,253,"8,100"
2025/12/05,15:20:02,253,"1,000"
2025/12/05,15:19:56,252,200
2025/12/05,15:19:53,252,100
2025/12/05,15:19:53,252,"3,100"
2025/12/05,15:19:47,252,500
2025/12/05,15:19:38,252,400
2025/12/05,15:19:30,250,100
2025/12/05,15:19:25,250,100
2025/12/05,15:19:24,251,"4,800"
2025/12/05,15:19:22,251,600
2025/12/05,15:19:19,251,300
2025/12/05,15:19:19,251,"1,000"
2025/12/05,15:19:12,251,800
2025/12/05,15:19:07,251,300
2025/12/05,15:18:55,251,300
2025/12/05,15:18:55,252,100
2025/12/05,15:18:46,252,"1,000"
2025/12/05,15:18:43,253,200
2025/12/05,15:18:36,252,200
2025/12/05,15:18:21,252,600
2025/12/05,15:18:21,252,"1,900"
2025/12/05,15:18:13,251,"1,000"
2025/12/05,15:18:06,253,100
2025/12/05,15:18:05,253,900
2025/12/05,15:18:05,252,100
2025/12/05,15:18:05,251,"9,400"
2025/12/05,15:18:05,252,300
2025/12/05,15:18:02,253,800
2025/12/05,15:18:02,253,"1,000"
2025/12/05,15:17:35,253,100
2025/12/05,15:17:32,253,500
2025/12/05,15:17:27,254,100
2025/12/05,15:17:07,253,100
2025/12/05,15:17:00,253,"1,900"
2025/12/05,15:16:56,253,100
2025/12/05,15:15:51,253,300
2025/12/05,15:15:51,253,100
2025/12/05,15:15:38,253,"1,000"
2025/12/05,15:15:34,253,100
2025/12/05,15:15:33,253,"1,500"
2025/12/05,15:15:31,253,400
2025/12/05,15:15:31,253,700
2025/12/05,15:15:19,251,100
2025/12/05,15:15:19,252,100
2025/12/05,15:15:19,252,"1,300"
2025/12/05,15:15:17,252,700
2025/12/05,15:15:17,252,200
2025/12/05,15:15:16,253,100
2025/12/05,15:15:16,253,"1,000"
2025/12/05,15:15:16,253,"7,400"
2025/12/05,15:15:16,252,100
2025/12/05,15:15:16,252,400
2025/12/05,15:15:06,252,300
2025/12/05,15:15:06,252,"1,000"
2025/12/05,15:15:05,252,100
2025/12/05,15:14:57,252,100
2025/12/05,15:14:49,252,300
2025/12/05,15:14:47,252,200
2025/12/05,15:14:42,252,100
2025/12/05,15:14:41,252,100
2025/12/05,15:14:41,252,100
2025/12/05,15:14:29,252,"1,000"
2025/12/05,15:14:27,253,"2,000"
2025/12/05,15:14:18,253,400
2025/12/05,15:14:17,251,800
2025/12/05,15:14:17,252,200
2025/12/05,15:14:14,252,500
2025/12/05,15:14:11,252,200
2025/12/05,15:14:08,252,"1,200"
2025/12/05,15:14:04,251,100
2025/12/05,15:14:04,251,100
2025/12/05,15:14:03,251,"1,200"
2025/12/05,15:14:03,252,"2,400"
2025/12/05,15:14:03,252,"1,200"
2025/12/05,15:13:55,253,"2,700"
2025/12/05,15:13:55,253,"1,500"
2025/12/05,15:13:54,254,100
2025/12/05,15:13:41,254,"2,100"
2025/12/05,15:13:41,254,"2,000"
2025/12/05,15:13:41,255,100
2025/12/05,15:13:41,255,"2,000"
2025/12/05,15:13:41,255,800
2025/12/05,15:13:39,255,100
2025/12/05,15:13:16,255,200
2025/12/05,15:13:02,255,100
2025/12/05,15:13:02,255,100
2025/12/05,15:12:58,254,300
2025/12/05,15:12:57,255,800
2025/12/05,15:12:57,255,"2,000"
2025/12/05,15:12:43,255,700
2025/12/05,15:12:23,255,100
2025/12/05,15:12:23,255,500
2025/12/05,15:12:21,255,500
2025/12/05,15:12:12,256,"1,700"
2025/12/05,15:12:12,255,"3,500"
2025/12/05,15:12:12,254,500
2025/12/05,15:11:58,255,100
2025/12/05,15:11:53,254,500
2025/12/05,15:11:50,254,500
2025/12/05,15:11:49,255,200
2025/12/05,15:11:43,255,100
2025/12/05,15:11:41,254,"2,400"
2025/12/05,15:11:41,255,600
2025/12/05,15:11:41,255,200
2025/12/05,15:11:31,257,"2,000"
2025/12/05,15:11:27,257,"1,600"
2025/12/05,15:11:27,256,"1,100"
2025/12/05,15:11:27,255,"2,100"
2025/12/05,15:11:27,254,100
2025/12/05,15:11:25,255,"1,000"
2025/12/05,15:11:23,254,100
2025/12/05,15:11:23,254,"1,000"
2025/12/05,15:11:19,254,100
2025/12/05,15:11:19,254,100
2025/12/05,15:11:18,254,200
